Feature,Role,Variable Type,Demographic,Description
B14002001,Feature,Integer,Total population 3 years and over,Number of total population enrollment by detailed level of school for 3 years and over in the census tract (ACS 5-year estimate).
B14002002,Feature,Integer,Male population 3 years and over,Number of male population 3 years and over in the census tract (ACS 5-year estimate).
B14002003,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002004,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002005,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002006,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002007,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002008,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002010,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002011,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002012,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002013,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002014,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002015,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002016,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002017,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002018,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002019,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002020,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002021,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002022,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002023,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002024,Feature,Integer,Male population 3 years and over enrolled in school,Number of male population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002025,Feature,Integer,Male population 3 years and over not enrolled in school,Number of male population 3 years and over not enrolled in school in the census tract (ACS 5-year estimate).
B14002026,Feature,Integer,Female population 3 years and over,Number of female population 3 years and over in the census tract (ACS 5-year estimate).
B14002027,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002028,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002029,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002031,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002032,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002034,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002035,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002036,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002037,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
B14002038,Feature,Integer,Female population 3 years and over enrolled in school,Number of female population 3 years and over enrolled in school in the census tract (ACS 5-year estimate).
